0;22;20;12;24;29;14;26;32;10;2;17;18;31;15;18;21;10;24;15;18;12;18;34;14;25;20;12;24;24;18;28;28;19;12;18;7;13;25;13;12;31;12;4;24;20;17;10;24;23;26;30;18;21;18;14;22;28;16;28;12;25;38;18;14;16;17;20;18;26;26;12;13;26;17;22;15;15;14;15;23;24;28;24;18;24;11;25;35;20;24;9;20;15;28;23;16;22;19;14;24;30;15;24;18;20;24;12;35;30;22;19;26;15;21;23;24;20;21;31;24;11;13;24;15;24;24;19;25;23;15;21;22;19;23;20;18;32;26;21;23;20;26;24;14;16;32;19;24;31;31;18;19;31;28;25;18;26;13;26;26;29;19;21;17;28;17;27;25;14;31;32;23;23;24;21;24;30;21;35;26;19;17;23;25;25;15;28
24;0;8;29;19;46;24;34;21;28;24;26;34;19;27;34;16;24;10;24;23;24;38;48;24;16;38;24;35;38;34;36;35;14;19;18;25;17;10;15;24;19;29;25;15;38;36;24;28;21;43;43;27;27;15;21;30;42;38;26;24;16;41;29;18;19;31;38;27;17;43;23;16;38;24;16;20;23;24;29;16;40;25;16;38;38;22;17;23;38;42;31;38;27;26;40;31;6;20;15;38;42;29;38;23;31;40;29;48;36;17;19;18;20;15;16;29;38;30;19;40;33;25;19;29;29;29;20;20;20;28;15;32;34;18;31;34;20;18;19;19;30;18;19;15;17;19;19;28;24;18;34;20;21;22;16;31;33;27;16;43;36;34;34;29;40;34;20;16;21;34;21;28;34;34;15;29;19;34;48;17;13;34;34;16;14;33;23
24;8;0;27;18;46;20;35;20;26;24;26;36;19;29;36;16;26;10;21;26;26;38;48;26;20;36;26;37;38;36;37;38;11;21;18;20;13;15;15;26;19;23;24;18;38;36;20;31;19;43;43;29;30;18;25;31;42;40;26;26;15;39;31;20;22;33;38;29;19;43;20;18;38;25;16;22;22;24;29;18;42;25;17;38;38;24;18;20;38;42;29;38;29;26;40;29;6;20;18;37;42;29;38;19;31;42;25;48;38;16;20;19;22;16;16;32;37;32;19;42;33;24;16;29;31;32;20;21;17;24;18;34;34;17;30;36;20;17;20;17;32;16;18;18;21;19;20;31;24;21;36;20;19;19;18;31;33;31;17;45;37;34;34;29;40;34;18;20;25;38;22;31;34;36;16;31;19;34;48;16;13;34;34;15;13;35;23
14;27;25;0;29;30;15;23;35;21;14;18;8;36;14;8;25;12;29;19;18;19;18;31;19;30;14;19;29;19;8;30;28;24;19;23;16;16;28;21;19;36;2;15;29;21;21;16;23;28;27;29;18;23;23;19;24;27;20;26;19;30;40;23;22;19;5;16;16;31;27;16;15;22;18;28;17;20;19;11;27;14;32;29;18;19;14;30;40;16;25;13;16;14;26;24;23;29;23;17;23;35;14;23;25;19;14;2;32;31;27;23;32;17;26;28;25;21;22;36;14;13;20;29;15;23;24;24;33;28;14;25;23;20;29;19;8;37;31;26;27;21;29;29;17;19;37;23;23;36;35;8;24;37;34;30;17;23;14;31;22;31;18;20;9;27;18;30;30;19;29;36;25;15;25;26;24;36;20;32;31;24;18;17;30;30;11;32
22;13;18;27;0;45;21;36;20;24;22;33;33;21;28;33;4;25;16;24;25;24;36;47;25;12;36;21;36;37;33;33;36;14;20;17;21;17;25;13;24;22;27;22;12;36;31;23;29;19;42;43;28;29;16;25;27;41;36;25;24;10;43;30;19;21;31;36;30;17;42;20;23;36;21;9;19;21;25;27;14;39;28;10;36;37;22;14;21;36;40;27;36;28;25;39;28;16;18;17;37;41;28;37;27;33;39;27;48;39;8;18;12;19;11;4;31;36;29;21;39;31;23;4;28;31;31;19;14;12;28;9;31;33;7;33;33;21;2;19;8;29;15;2;17;17;21;18;29;22;18;33;19;15;18;11;30;37;29;16;42;33;33;34;27;43;33;12;11;25;35;18;27;33;33;11;31;22;32;48;2;21;33;33;5;11;31;28
34;46;46;32;49;0;38;36;56;36;34;22;28;52;32;28;48;38;44;37;37;40;34;36;38;47;34;40;37;32;28;37;41;39;38;38;35;39;46;43;40;53;32;36;46;22;30;34;41;37;18;30;36;41;36;41;37;28;34;32;40;47;44;35;41;39;33;34;36;47;18;39;38;30;36;49;37;35;41;28;46;24;51;44;32;32;39;43;53;34;20;35;34;32;32;14;36;46;37;40;34;36;32;34;42;33;24;32;30;30;46;37;47;39;47;49;38;22;36;54;24;29;35;49;33;41;36;39;48;47;36;47;43;21;50;33;28;52;48;35;50;42;44;49;40;38;53;37;41;54;54;28;39;56;45;47;23;37;20;44;30;37;18;28;28;35;18;47;47;41;26;55;37;24;42;47;41;55;31;30;46;43;18;24;46;48;31;51
14;24;20;19;21;35;0;26;30;10;14;23;25;27;17;25;22;18;24;17;18;12;28;36;12;26;28;12;24;26;25;29;33;16;16;14;14;14;19;18;12;25;19;15;23;26;25;12;23;19;32;32;16;21;14;19;23;28;28;23;12;23;34;18;19;14;24;28;19;24;32;10;18;28;17;22;14;4;21;19;25;31;26;20;28;26;18;22;25;28;30;20;28;17;23;29;17;24;16;18;24;32;17;26;23;22;31;19;37;29;23;16;26;14;21;23;23;26;24;26;31;23;6;19;17;23;24;16;27;16;19;22;28;23;24;20;25;28;21;17;20;27;18;21;18;13;29;16;23;27;27;25;16;29;21;22;22;26;19;25;34;29;23;23;19;30;23;21;26;19;30;31;23;25;30;21;21;31;27;37;21;19;23;25;22;21;23;25
24;33;33;24;34;37;24;0;40;23;24;23;29;36;25;29;37;28;29;26;28;28;34;42;28;34;32;28;33;32;29;36;29;29;28;26;24;27;34;31;28;35;26;25;33;30;31;21;29;28;34;37;28;32;24;30;30;36;36;30;28;35;39;27;31;30;23;34;28;36;34;27;28;32;27;34;30;23;28;24;34;35;34;27;34;32;29;27;38;34;32;29;34;25;30;31;26;33;27;28;33;37;25;33;31;24;35;26;40;38;33;27;36;30;33;33;32;30;31;36;35;29;23;34;25;29;32;29;37;32;20;34;34;26;35;24;29;38;36;28;35;29;26;34;28;29;35;27;29;39;39;29;29;39;33;35;21;11;22;35;38;37;25;28;22;18;25;33;34;30;39;39;31;25;36;33;29;39;23;40;36;27;25;27;34;36;29;34
33;25;24;38;22;56;30;36;0;32;33;40;45;20;36;45;21;31;22;34;36;33;47;55;34;25;47;33;46;46;45;46;41;23;30;25;30;25;30;23;33;18;38;32;24;46;43;32;35;30;52;53;39;38;25;29;40;50;47;36;33;23;44;41;30;28;39;47;39;27;53;30;30;46;34;21;30;29;34;37;23;51;29;18;47;46;31;21;16;47;49;37;47;37;36;50;38;19;27;28;46;51;37;46;28;37;51;38;58;47;21;28;21;27;20;23;41;44;41;20;51;42;31;19;37;37;41;28;21;19;32;22;42;44;24;38;45;20;19;30;22;37;21;22;28;26;19;28;35;14;9;45;28;8;25;17;39;36;39;26;54;46;44;44;37;47;43;21;25;29;46;15;40;43;42;22;37;16;42;58;18;26;44;43;24;21;42;29
10;26;24;19;26;31;10;12;33;0;12;19;25;30;17;25;29;17;25;16;24;17;28;36;19;28;28;17;29;26;25;33;32;21;17;18;10;19;24;23;17;31;19;9;27;22;17;12;30;24;28;32;23;27;18;20;27;30;26;30;17;28;37;23;24;22;24;28;24;30;28;18;20;28;22;26;22;12;20;17;28;31;24;24;26;26;19;24;33;28;26;14;28;17;30;25;4;26;21;20;26;34;17;26;20;22;31;19;37;36;25;21;30;22;24;26;30;22;28;30;31;21;10;26;17;30;30;21;29;23;18;26;28;21;27;22;25;31;28;23;27;26;22;26;20;21;29;21;30;29;32;25;21;32;25;29;20;16;15;27;34;34;21;23;19;28;19;23;28;20;37;32;28;25;30;25;30;30;23;37;28;18;19;25;27;29;23;24
