0,26,28,23,34,41,29,39,35,24,16,25,25,39,25,25,34,21,26,32
26,0,4,31,23,54,27,42,23,26,26,29,37,23,25,37,16,32,14,29
28,4,0,33,21,52,27,40,23,28,28,31,39,25,27,39,16,34,14,27
23,31,33,0,39,40,30,38,40,33,17,30,20,44,20,20,39,22,29,36
34,23,21,39,0,51,29,40,27,30,34,35,45,29,39,45,6,30,21,24
41,54,52,40,51,0,49,52,58,54,43,47,34,61,40,36,53,53,54,46
29,27,27,30,29,49,0,38,30,21,23,33,43,34,26,41,29,34,25,30
39,42,40,38,40,52,38,0,45,36,41,39,49,45,36,47,42,36,40,42
35,23,23,40,27,58,30,45,0,35,33,42,46,24,38,46,21,39,25,34
24,26,28,33,30,54,21,36,35,0,20,35,41,37,35,41,28,31,30,16
16,26,28,17,34,43,23,41,33,20,0,29,29,39,21,27,34,19,24,24
25,29,31,30,35,47,33,39,42,35,29,0,37,46,24,35,32,40,31,35
25,37,39,20,45,34,43,49,46,41,29,37,0,49,28,4,45,31,37,44
39,23,25,44,29,61,34,45,24,37,39,46,49,0,44,49,28,39,29,38
25,25,27,20,39,40,26,36,38,35,21,24,28,44,0,28,39,38,27,38
25,37,39,20,45,36,41,47,46,41,27,35,4,49,28,0,45,31,37,44
34,16,16,39,6,53,29,42,21,28,34,32,45,28,39,45,0,30,18,27
21,32,34,22,30,53,34,36,39,31,19,40,31,39,38,31,30,0,28,35
26,14,14,29,21,54,25,40,25,30,24,31,37,29,27,37,18,28,0,29
32,29,27,36,24,46,30,42,34,16,24,35,44,38,38,44,27,35,29,0
