0,18,22,33,30,60,25,27,33,22,20,27,31,37,25,33,30,29,20,23
18,0,4,29,21,58,21,32,23,20,22,33,33,23,25,39,20,24,6,28
22,4,0,23,21,60,19,36,23,22,22,29,33,23,31,37,24,26,8,32
33,29,23,0,39,52,20,24,40,39,27,30,12,44,26,10,39,38,35,34
30,21,21,39,0,57,25,30,19,22,34,35,43,26,39,47,4,34,19,24
60,58,60,52,57,0,58,52,61,48,58,36,58,61,44,56,59,56,52,47
25,21,19,20,25,58,0,33,30,23,21,31,35,32,32,36,21,22,17,20
27,32,36,24,30,52,33,0,39,8,37,35,37,39,33,44,36,28,24,12
33,23,23,40,19,61,30,39,0,31,35,39,49,8,38,49,21,33,23,33
22,20,22,39,22,48,23,8,31,0,28,32,30,37,29,40,30,13,14,2
20,22,22,27,34,58,21,37,35,28,0,29,25,39,23,39,34,25,28,27
27,33,29,30,35,36,31,35,39,32,29,0,36,43,10,34,34,36,33,33
31,33,33,12,43,58,35,37,49,30,25,36,0,50,28,2,40,29,37,41
37,23,23,44,26,61,32,39,8,37,39,43,50,0,42,50,23,38,27,40
25,25,31,26,39,44,32,33,38,29,23,10,28,42,0,34,39,40,25,34
33,39,37,10,47,56,36,44,49,40,39,34,2,50,34,0,38,43,39,45
30,20,24,39,4,59,21,36,21,30,34,34,40,23,39,38,0,32,20,29
29,24,26,38,34,56,22,28,33,13,25,36,29,38,40,43,32,0,22,17
20,6,8,35,19,52,17,24,23,14,28,33,37,27,25,39,20,22,0,18
23,28,32,34,24,47,20,12,33,2,27,33,41,40,34,45,29,17,18,0
