0,-8,-6,10,-4,19,-4,-12,-2,-2,4,2,6,-2,0,8,-4,8,-6,-9
-8,0,0,-2,-2,4,-6,-10,0,-6,-4,4,-4,0,0,2,4,-8,-8,-1
-6,0,0,-10,0,8,-8,-4,0,-6,-6,-2,-6,-2,4,-2,8,-8,-6,5
10,-2,-10,0,0,12,-10,-14,0,6,10,0,-8,0,6,-10,0,16,6,-2
-4,-2,0,0,0,6,-4,-10,-8,-8,0,0,-2,-3,0,2,-2,4,-2,0
19,4,8,12,6,0,9,0,3,-6,15,-11,24,0,4,20,6,3,-2,1
-4,-6,-8,-10,-4,9,0,-5,0,2,-2,-2,-8,-2,6,-5,-8,-12,-8,-10
-12,-10,-4,-14,-10,0,-5,0,-6,-28,-4,-4,-12,-6,-3,-3,-6,-8,-16,-30
-2,0,0,0,-8,3,0,-6,0,-4,2,-3,3,-16,0,3,0,-6,-2,-1
-2,-6,-6,6,-8,-6,2,-28,-4,0,8,-3,-11,0,-6,-1,2,-18,-16,-14
4,-4,-6,10,0,15,-2,-4,2,8,0,0,-4,0,2,12,0,6,4,3
2,4,-2,0,0,-11,-2,-4,-3,-3,0,0,-1,-3,-14,-1,2,-4,2,-2
6,-4,-6,-8,-2,24,-8,-12,3,-11,-4,-1,0,1,0,-2,-5,-2,0,-3
-2,0,-2,0,-3,0,-2,-6,-16,0,0,-3,1,0,-2,1,-5,-1,-2,2
0,0,4,6,0,4,6,-3,0,-6,2,-14,0,-2,0,6,0,2,-2,-4
8,2,-2,-10,2,20,-5,-3,3,-1,12,-1,-2,1,6,0,-7,12,2,1
-4,4,8,0,-2,6,-8,-6,0,2,0,2,-5,-5,0,-7,0,2,2,2
8,-8,-8,16,4,3,-12,-8,-6,-18,6,-4,-2,-1,2,12,2,0,-6,-18
-6,-8,-6,6,-2,-2,-8,-16,-2,-16,4,2,0,-2,-2,2,2,-6,0,-11
-9,-1,5,-2,0,1,-10,-30,-1,-14,3,-2,-3,2,-4,1,2,-18,-11,0
