0,20,27,15,29,61,10,18,34,14,14,23,39,28,21,32,38,9,10,14,17,15,28,34,15,26,26,15,32,38,33,36,28,9,15,9,12,6,31,26,15,24,11,4,33,30,19,2,12,33,29,25,24,12,19,4,23,49,33,17,15,29,46,26,13,23,22,39,26,18,45,11,27,29,18,38,26,5,8,25,29,44,21,22,37,36,19,25,35,44,37,9,18,29,16,51,14,29,27,29,23,35,11,44,16,23,46,16,45,25,28,9,26,6,23,29,18,43,14,23,41,35,9,30,11,10,26,18,21,30,22,36,16,17,29,21,21,24,33,34,30,14,32,29,9,7,24,9,12,36,34,31,18,33,20,24,29,18,29,29,24,32,17,29,17,28,38,28,26,36,23,34,33,33,18,23,35,29,36,29,33,24,43,27,27,29,9,27
20,0,2,18,15,47,19,29,15,25,14,21,21,18,19,27,9,21,8,29,24,23,38,48,25,19,30,23,31,37,34,44,35,17,25,19,28,20,4,1,23,23,36,22,18,30,45,20,32,9,44,44,27,29,8,22,39,42,39,19,23,9,42,31,7,16,26,34,18,16,52,23,19,43,25,9,17,32,25,23,18,40,27,15,43,40,16,17,16,32,42,37,35,17,13,43,27,2,23,14,34,41,38,32,15,21,41,15,58,43,16,9,18,30,9,15,35,34,37,21,46,25,30,10,38,16,35,6,16,11,31,16,33,45,10,23,25,23,14,7,9,37,9,15,31,22,16,9,28,17,14,44,6,19,18,10,21,31,21,20,44,45,44,27,38,29,33,16,19,10,45,17,40,21,39,9,22,15,43,49,14,2,37,29,18,8,38,26
27,2,0,18,19,45,17,31,15,25,14,21,21,16,19,27,15,27,16,29,24,25,38,51,23,18,30,25,33,37,30,41,35,17,25,19,29,25,6,1,25,21,36,22,16,30,46,22,32,9,44,44,31,29,8,22,37,44,39,27,25,10,43,33,7,16,26,28,18,17,50,21,17,47,25,9,19,32,25,23,17,40,26,15,39,40,24,18,17,32,42,37,36,17,13,45,25,2,23,16,34,41,38,32,9,21,36,15,55,49,16,9,13,30,9,14,37,28,33,21,38,25,30,10,39,16,44,6,25,10,35,11,33,44,10,23,25,19,19,7,9,38,9,19,34,25,16,9,34,17,16,43,6,21,19,8,21,31,21,21,44,49,43,27,37,29,35,15,18,10,45,15,38,21,36,9,16,17,43,47,14,4,33,29,19,10,44,30
15,18,18,0,39,51,20,31,32,20,18,19,22,30,14,22,40,23,19,22,36,27,40,42,25,28,23,27,20,36,6,43,41,18,27,22,18,21,27,17,27,32,2,26,38,24,37,15,39,39,35,33,34,35,14,17,31,34,42,36,27,28,44,32,32,24,2,27,10,28,39,30,21,27,29,32,36,36,20,14,36,12,33,29,35,39,21,28,27,20,35,36,33,18,31,47,23,18,21,35,35,39,28,23,20,15,31,12,46,30,30,10,30,33,29,28,41,28,39,34,12,27,22,23,28,25,40,16,26,29,19,29,23,40,30,27,27,32,36,26,26,31,29,39,30,23,32,10,38,32,30,8,16,32,27,28,27,31,27,30,33,51,40,26,10,32,36,30,28,12,37,33,37,26,34,29,38,25,38,32,38,26,40,24,26,30,23,32
29,15,19,39,0,58,15,28,15,28,21,34,45,26,35,41,4,28,14,30,29,28,47,59,28,6,46,28,40,44,41,47,33,14,28,10,29,29,14,19,28,18,33,31,20,46,46,30,31,31,50,45,32,32,15,23,41,46,45,26,28,4,43,34,16,25,31,44,28,15,50,26,19,43,31,3,21,35,24,33,18,51,28,10,44,40,21,22,22,40,46,40,49,28,26,46,30,20,27,21,49,46,41,42,19,35,47,40,55,45,10,25,6,31,11,10,35,44,31,20,51,37,32,2,41,32,35,24,8,4,35,4,30,44,3,32,39,18,2,29,10,26,6,2,35,26,17,25,30,20,17,45,24,20,8,11,34,28,34,10,50,39,44,36,33,34,40,10,5,28,47,17,43,41,37,11,38,22,41,55,2,17,45,40,9,11,43,29
61,47,45,51,58,0,62,62,53,61,52,22,42,59,32,61,49,55,51,56,57,51,55,56,57,48,43,51,55,61,59,56,59,44,51,51,63,61,51,44,51,58,52,64,53,22,55,54,63,40,26,40,55,61,49,56,52,38,62,40,51,55,55,54,42,44,55,41,54,47,28,57,56,63,60,54,33,59,61,54,43,54,61,52,62,62,54,57,57,55,23,50,42,50,45,10,62,41,45,35,38,49,47,53,57,35,54,59,66,57,57,46,48,61,54,54,46,23,51,62,58,46,61,60,49,63,23,42,49,56,64,56,65,54,53,37,55,61,58,46,56,63,54,58,59,63,62,46,57,66,60,56,42,53,54,53,23,56,19,44,42,27,54,28,54,41,14,59,48,55,54,55,56,46,62,54,56,52,47,61,58,54,14,50,52,48,54,59
10,19,17,20,15,62,0,27,33,15,17,29,31,23,25,28,17,22,18,18,7,18,37,37,16,17,32,18,41,39,34,19,33,17,18,11,12,2,15,18,18,26,31,9,32,34,34,10,32,31,39,32,32,27,9,12,25,46,26,25,18,26,36,34,20,11,28,40,23,29,59,13,19,33,11,14,11,2,16,25,24,38,19,12,39,46,23,12,22,37,44,14,23,16,19,51,18,17,25,13,26,44,11,41,21,26,42,15,52,23,20,12,17,3,17,23,21,43,17,28,48,38,6,13,11,36,15,11,26,16,17,16,27,35,15,29,29,24,15,22,15,20,19,15,7,3,26,12,33,23,31,38,11,33,21,14,29,25,29,16,37,25,35,37,22,31,45,20,17,32,31,23,19,25,31,17,40,21,37,38,15,25,39,34,25,20,23,29
18,29,31,31,28,62,27,0,32,7,27,34,22,35,31,21,34,24,27,9,24,7,46,53,6,32,40,7,32,30,31,27,7,26,7,25,28,27,33,34,7,31,15,18,33,40,34,20,36,36,50,43,19,20,29,24,40,46,43,35,7,28,36,15,34,29,29,43,12,24,48,8,29,41,34,29,29,26,20,30,32,31,23,29,41,47,26,27,33,38,41,27,42,27,34,53,4,31,36,29,43,27,26,38,33,32,42,10,45,44,32,28,30,31,21,29,22,45,31,31,47,31,29,30,27,24,33,27,31,32,20,38,21,32,28,34,22,31,28,38,28,16,33,28,23,22,30,28,30,41,36,31,27,35,30,27,32,1,32,36,49,47,32,36,12,31,34,26,32,41,42,33,27,30,21,20,40,29,35,53,28,36,38,20,31,26,34,30
34,15,15,32,15,53,33,32,0,23,26,33,43,8,31,41,15,23,14,25,29,23,42,52,23,17,48,23,42,44,44,45,38,15,23,17,29,25,22,16,23,7,31,33,19,48,42,24,37,31,50,49,33,39,17,23,43,48,40,37,23,11,39,35,23,26,34,41,30,16,50,21,23,43,36,24,26,31,30,31,15,50,17,14,46,42,22,16,10,41,50,40,51,32,38,54,25,17,23,22,51,45,40,40,25,34,46,31,61,45,17,19,16,31,9,13,38,42,42,4,49,36,34,14,39,35,37,19,13,21,33,19,42,39,12,37,40,6,19,31,15,41,16,15,32,25,2,20,40,12,8,42,18,10,17,9,38,31,35,18,50,48,40,43,28,41,45,15,17,27,50,6,39,38,41,11,38,13,37,55,13,24,40,37,14,9,45,20
14,25,25,20,28,61,15,7,23,0,28,22,21,23,21,25,30,7,17,2,18,1,37,34,1,28,38,1,17,32,25,37,13,16,1,14,15,16,28,24,1,21,12,9,31,38,30,15,30,33,42,39,9,14,16,15,25,45,40,22,1,18,40,11,21,21,29,33,7,14,49,2,22,33,29,33,9,13,8,32,27,31,17,15,44,49,14,18,27,38,47,16,25,19,34,48,3,25,28,18,27,27,24,38,28,24,34,10,49,35,18,17,28,18,15,19,23,34,23,21,45,32,15,22,24,18,30,14,19,33,21,33,16,40,18,30,21,21,22,31,22,14,29,22,12,22,21,17,28,37,27,30,14,27,17,15,22,7,22,28,40,45,40,34,10,29,36,16,28,29,42,23,37,37,18,14,41,23,29,48,28,21,36,21,28,15,22,21
14,14,14,18,21,52,17,27,26,28,0,23,35,28,21,28,19,24,14,27,22,25,31,34,24,32,41,25,44,30,26,40,40,13,29,8,22,26,15,13,25,26,19,24,35,42,38,16,32,19,46,40,38,29,15,18,36,45,34,28,25,18,51,39,28,17,21,32,30,20,50,21,21,36,28,20,9,21,27,18,30,34,27,22,36,36,21,21,25,42,45,28,40,5,38,41,27,14,19,19,40,55,27,42,2,26,30,16,54,47,23,11,29,22,21,22,37,32,37,28,43,9,19,19,28,43,38,13,27,20,23,20,32,37,23,26,26,25,19,24,18,28,17,19,25,25,25,11,32,29,25,34,13,27,30,17,25,31,25,28,46,48,35,34,32,21,31,23,32,28,37,26,31,25,45,21,39,25,40,53,19,14,41,33,32,22,39,27
23,21,21,19,34,22,29,34,33,22,23,0,33,36,2,26,34,18,23,29,26,24,40,33,24,36,9,24,43,37,35,43,32,22,23,23,26,34,25,20,24,34,25,32,34,8,33,15,27,39,35,33,31,21,19,17,42,14,40,27,24,31,45,42,33,13,19,10,28,29,17,23,35,29,40,33,17,39,21,24,37,31,33,30,38,37,16,32,41,16,14,27,10,16,29,30,30,21,32,11,10,54,16,16,27,5,38,16,39,49,31,25,33,32,27,30,29,10,41,38,44,25,31,30,17,28,32,19,33,32,23,34,29,32,30,3,16,34,44,32,35,29,31,39,32,30,34,25,35,39,35,40,19,38,34,28,3,30,1,37,35,39,30,12,10,9,18,34,36,19,51,33,39,27,32,27,43,34,38,34,43,21,8,29,34,34,11,28
39,21,21,22,45,42,31,22,43,21,35,33,0,43,22,2,44,14,35,27,26,15,49,41,19,39,44,15,37,34,2,39,29,34,20,35,32,32,33,20,15,43,6,31,42,49,43,27,34,32,41,42,26,33,41,31,33,34,47,38,15,39,39,26,35,24,21,43,22,39,46,14,35,35,28,43,30,35,30,16,42,6,29,37,34,43,24,34,39,22,38,27,28,36,23,45,20,21,32,29,29,47,27,20,33,23,6,6,46,47,38,37,39,34,38,38,29,43,31,44,18,25,35,42,28,44,32,20,43,43,31,41,33,41,39,30,2,41,47,35,36,38,42,45,30,36,43,37,41,42,37,2,20,45,40,38,28,26,22,33,41,46,40,21,24,21,30,40,39,19,41,43,29,2,41,38,44,33,38,51,45,20,29,6,38,39,32,29
